moth_id,date,timestamp,position_x,position_y,length_mm,width_mm,area_mm2,species,source_image
4,2024-12-12,2024-12-12 15:49:03.129655,3242,1569,16.52,6.78,111.98,,15-49-03.jpg
5,2024-12-12,2024-12-12 15:49:03.129655,1200,3735,10.95,18.28,200.13,,15-49-03.jpg
6,2024-12-12,2024-12-12 15:49:03.129655,1022,2331,38.32,14.03,537.57,unknown,15-49-03.jpg
7,2024-12-12,2024-12-12 15:49:03.129655,1174,3163,21.72,12.97,281.78,,15-49-03.jpg
8,2024-12-12,2024-12-12 15:49:03.129655,1000,1977,27.1,14.97,405.57,,15-49-03.jpg
9,2024-12-12,2024-12-12 15:49:03.129655,3884,2698,19.81,9.26,183.48,,15-49-03.jpg
10,2024-12-12,2024-12-12 15:49:03.129655,3934,2440,8.7,4.0,34.82,,15-49-03.jpg
11,2024-12-12,2024-12-12 15:49:03.129655,2199,2490,8.7,18.67,162.33,,15-49-03.jpg
12,2024-12-12,2024-12-12 15:49:03.129655,3447,2121,18.18,8.06,146.59,,15-49-03.jpg
13,2024-12-12,2024-12-12 15:49:03.129655,2358,2959,23.15,9.3,215.35,,15-49-03.jpg
14,2024-12-12,2024-12-12 15:49:03.129655,3251,3342,25.37,10.35,262.47,,15-49-03.jpg
15,2024-12-12,2024-12-12 15:49:03.129655,3224,2726,16.76,5.65,94.65,,15-49-03.jpg
16,2024-12-12,2024-12-12 15:49:03.129655,2725,1846,17.53,9.26,162.29,,15-49-03.jpg
17,2024-12-12,2024-12-12 15:49:03.129655,1383,2001,14.64,6.99,102.29,,15-49-03.jpg
18,2024-12-12,2024-12-12 15:49:03.129655,2805,1509,13.02,6.63,86.23,,15-49-03.jpg
19,2024-12-12,2024-12-12 15:49:03.129655,2396,1949,6.29,14.0,88.09,,15-49-03.jpg
20,2024-12-12,2024-12-12 15:49:03.129655,1815,3396,48.46,19.14,927.43,unknown,15-49-03.jpg
21,2024-12-12,2024-12-12 15:49:03.129655,2310,2422,12.16,4.96,60.34,,15-49-03.jpg
22,2024-12-12,2024-12-12 15:49:03.129655,1136,1649,9.67,4.51,43.6,,15-49-03.jpg
23,2024-12-12,2024-12-12 15:49:03.129655,1333,2989,7.77,4.43,34.44,,15-49-03.jpg
24,2024-12-12,2024-12-12 15:49:03.129655,3902,1251,11.1,4.97,55.18,,15-49-03.jpg
25,2024-12-12,2024-12-12 15:49:03.129655,2674,3549,10.12,6.57,66.53,,15-49-03.jpg
26,2024-12-12,2024-12-12 15:49:03.129655,3918,1155,12.64,4.78,60.43,,15-49-03.jpg
27,2024-12-12,2024-12-12 15:49:03.129655,2185,3770,12.5,5.41,67.62,,15-49-03.jpg
28,2024-12-12,2024-12-12 15:49:03.129655,2048,1213,13.18,4.77,62.91,,15-49-03.jpg
